	company_name	industry_name	industryID	first_date	first_employees_on_platform	first_followers_count	last_date	last_employees_on_platform	last_followers_count	slope1	r_value1	slope2	r_value2	z-score1	z-score2	industry_total
4821	BancorpSouth	Financial Services	20	2016-12-22 00:00:00	2043	4417	2018-07-17 00:00:00	2421	5883	75.07770929270067	0.9783209194103534	1.116945279530755e-05	0.051904023387019126	-0.29575023941392653	-0.013673608646856005	286
4898	Raymond James	Financial Services	20	2017-02-17 00:00:00	9973	45783	2018-07-17 00:00:00	12609	61155	889.7764627274956	0.9975888397261649	5.219790206878438e-06	0.08502291989078635	0.06001325710287919	-0.028881209037999105	286
4905	The Business Backer	Financial Services	20	2016-12-11 00:00:00	97	3183	2018-07-17 00:00:00	82	3840	32.80022323378248	0.9407842347811255	-3.8926386070121794e-05	-0.31460930988011776	-0.31421201586914854	-0.14172078567604832	286
4930	People's United Bank, N.A.	Financial Services	20	2016-12-21 00:00:00	3631	8638	2018-07-17 00:00:00	4153	11662	166.51925634871876	0.996163662817066	5.710010532929685e-06	0.07477663509862317	-0.2558194498178937	-0.027628184230054226	286
4936	CashNetUSA	Financial Services	20	2017-11-01 00:00:00	0	86	2018-03-23 00:00:00	0	86	0.0	0.0	0.0	0.0	-0.3285352513656862	-0.042223223381163445	286
4945	United Bank Inc	Financial Services	20	2016-09-15 00:00:00	555	2513	2018-07-17 00:00:00	783	3898	50.46717482000071	0.9781655023781579	-1.6419022729420815e-07	-0.0010649738101693217	-0.30649719312932316	-0.042642900854920916	286
4949	Manulife	Financial Services	20	2015-09-17 00:00:00	12976	49175	2018-07-17 00:00:00	24265	98936	1373.8709858429938	0.9990668255210412	-1.549681737640257e-05	-0.22199399931184005	0.2714081554774098	-0.08183377313791472	286
4996	Global Payments Inc.	Financial Services	20	2017-02-21 00:00:00	2517	17696	2018-07-17 00:00:00	3194	28090	622.2308395412962	0.9967482719083623	3.763858448715331e-06	0.03227323161297053	-0.05681884308285912	-0.032602634924902195	286
4997	TD Ameritrade Institutional	Financial Services	20	2016-08-21 00:00:00	448	10447	2018-07-17 00:00:00	652	12839	97.77907996124101	0.9740604303212821	1.0917502002160844e-05	0.2427239150444268	-0.28583698132839	-0.01431760600358986	286
4999	Charles Schwab	Financial Services	20	2015-09-17 00:00:00	11616	68618	2018-07-17 00:00:00	17152	117472	1293.226564036074	0.9978266049950727	-1.1728003679794193e-05	-0.3314195610527197	0.23619226573209404	-0.07220051884915013	286
5008	Transamerica	Financial Services	20	2016-11-29 00:00:00	8419	39680	2018-07-17 00:00:00	14227	56333	741.5408251759358	0.9304693020190307	5.859620142495671e-05	0.21859487495317786	-0.004718434827912101	0.10755125583765737	286
5017	First Pacific Advisors (FPA)	Financial Services	20	2017-11-01 00:00:00	72	1042	2018-02-17 00:00:00	72	1042	0.0	0.0	0.0	0.0	-0.3285352513656862	-0.042223223381163445	286
40	Total	Oil & Energy	12	2015-11-25 00:00:00	38892	668301	2018-07-17 00:00:00	59026	1385397	21168.39552532746	0.9944989376083001	-3.912886686527041e-07	-0.006692666227478471	6.553215445774904	-0.0968934333505445	199
108	Devon Energy	Oil & Energy	12	2015-09-18 00:00:00	5451	110192	2018-07-17 00:00:00	5110	166563	1253.56754962224	0.9867110183615507	-1.3878187087245913e-05	-0.29269517421696234	0.06927994396025297	-0.13810455137720026	199
118	Legacy Reserves Operating LP	Oil & Energy	12	2017-11-01 00:00:00	180	767	2018-02-17 00:00:00	180	770	0.074596386860353	0.2255829548579174	-9.178628145323178e-05	-0.2074181038681433	-0.33883643398046875	-0.3761637086792377	199
127	Cabot Oil & Gas Corporation	Oil & Energy	12	2016-08-24 00:00:00	363	18281	2018-07-17 00:00:00	499	22008	150.66040368416589	0.9936769597636557	3.7687001546357808e-06	0.09271126019303529	-0.28980820922273803	-0.08418200148050353	199
154	Weatherford	Oil & Energy	12	2016-08-26 00:00:00	27011	520787	2018-07-17 00:00:00	31083	642045	4764.366924073393	0.9903178360315581	8.567080357801913e-06	0.2974436065029429	1.2123376058955122	-0.06951987481861424	199
259	Capstone Turbine	Oil & Energy	12	2017-03-31 00:00:00	181	3511	2018-07-17 00:00:00	171	4366	53.53935036931445	0.9821781699170076	-3.4142256146775244e-05	-0.29088495653243024	-0.3214292027020703	-0.20002426900191975	199
272	FMC Technologies	Oil & Energy	12	2015-09-20 00:00:00	12396	106693	2018-07-17 00:00:00	8694	157611	1321.221745162112	0.9882353066056211	-1.506523280418531e-05	-0.40986179973115505	0.09130702051059174	-0.1417317367852541	199
282	Sanchez Energy Corporation	Oil & Energy	12	2016-12-23 00:00:00	7	1282	2018-07-17 00:00:00	27	1796	23.77179716200029	0.9836365844068642	-4.760167700277292e-05	-0.22284778753649678	-0.33112102104358554	-0.24115142546528176	199
295	SAExploration	Oil & Energy	12	2017-04-12 00:00:00	401	3746	2018-07-17 00:00:00	430	4260	29.852862129836222	0.9904855716697069	1.786663074997831e-05	0.2188758728376071	-0.32914112781619265	-0.04110378856126775	199
315	TOTAL	Oil & Energy	12	2015-09-16 00:00:00	34275	620977	2015-11-24 00:00:00	38820	667528	21629.62786571164	0.9979542052304117	-2.4141086340984765e-05	-0.036681471708166616	6.70338499532112	-0.16946428578866668	199
338	Genie Energy	Oil & Energy	12	2016-12-16 00:00:00	49	628	2018-07-17 00:00:00	51	786	7.933943704979411	0.9957826991785468	4.746942637492103e-06	0.029740561844257895	-0.33627756170905315	-0.08119284376844554	199
354	Texas Pacific Land Trust (TPL)	Oil & Energy	12	2017-10-31 00:00:00	4	56	2018-02-17 00:00:00	6	59	0.136817393148343	0.3004875992610723	-0.0011891801589244632	-0.20058143562394698	-0.3388161758596293	-3.7294052919218923	199
401	Energen	Oil & Energy	12	2016-08-26 00:00:00	516	5096	2018-07-17 00:00:00	577	6229	48.13768476918432	0.9989313479834154	-2.7799280565669467e-06	-0.05552024723619159	-0.3231878948382184	-0.10419225748958777	199
433	PDC Energy, Inc.	Oil & Energy	12	2016-09-15 00:00:00	302	8108	2018-07-17 00:00:00	466	12084	180.11334437017896	0.9857356003726145	-1.2846643314683315e-05	-0.12238238130922964	-0.2802188234655598	-0.13495252406585545	199
459	Dawson Geophysical	Oil & Energy	12	2017-07-14 00:00:00	236	2369	2018-07-17 00:00:00	251	2517	13.106682131233535	0.978069890721708	1.5167561977318531e-05	0.1449016471376038	-0.3345934044386762	-0.04935117341580167	199
472	Freeport-McMoRan Oil & Gas	Oil & Energy	12	2017-11-01 00:00:00	613	12184	2018-02-17 00:00:00	605	12193	0.21266364511435143	0.21880357438997428	-1.7006854754653876e-05	-0.20804040574405233	-0.33879148158627664	-0.14766463617252865	199
480	Frank's International N.V.	Oil & Energy	12	2016-12-16 00:00:00	1101	11296	2018-07-17 00:00:00	1371	14833	180.29112203498963	0.9975101648649003	4.4348049519152455e-06	0.07952863536102361	-0.28016094202597613	-0.0821466244377758	199
497	EOG Resources	Oil & Energy	12	2015-09-17 00:00:00	2587	43797	2018-07-17 00:00:00	3581	74774	819.3595070236476	0.995281862914568	-3.1372246535835767e-06	-0.08169886338880768	-0.07209094540987045	-0.10528402757438912	199
553	Blueknight Energy Partners, LP	Oil & Energy	12	2017-07-13 00:00:00	186	2915	2018-07-17 00:00:00	193	3072	13.063008737008268	0.983823786050297	2.7475579451309115e-06	0.02872734120524136	-0.33460762376668884	-0.08730224535065012	199
566	Noble Energy	Oil & Energy	12	2015-09-18 00:00:00	2511	61341	2018-07-17 00:00:00	3124	99150	948.4745797721424	0.9867111489080287	-7.1711883923908704e-06	-0.19128482868299654	-0.030053233357592406	-0.11761037204555758	199
584	RSP Permian, Inc.	Oil & Energy	12	2016-09-10 00:00:00	54	1005	2018-07-17 00:00:00	113	1834	36.398224611236046	0.9936177605141079	-4.686680637144748e-05	-0.23737752060414752	-0.3270100670700407	-0.23890592472953626	199
598	Hess Corporation	Oil & Energy	12	2015-09-18 00:00:00	5078	128373	2018-07-17 00:00:00	6294	190441	1617.0743941303897	0.9947463182115734	-4.438418584209845e-06	-0.1650357197787048	0.18763170362065976	-0.10926000892950045	199
606	Targa Resources	Oil & Energy	12	2016-08-24 00:00:00	916	6168	2018-07-17 00:00:00	1310	9605	147.94019870258236	0.9905873666304098	9.281736222861022e-06	0.11381811801486495	-0.2906938625496871	-0.06733614314886352	199
612	MDU Resources Group, Inc.	Oil & Energy	12	2016-09-06 00:00:00	158	1645	2018-07-17 00:00:00	211	1995	14.001271970310176	0.9974081359855852	-5.198450034326018e-06	-0.06577588678993558	-0.3343021409226555	-0.11158239209148285	199
625	AmeriGas	Oil & Energy	12	2016-09-07 00:00:00	2122	5993	2018-07-17 00:00:00	2621	8249	109.51629979862284	0.9902418212315913	-3.3721936212839955e-06	-0.045829918148218296	-0.30320404252841715	-0.10600200835543763	199
636	Gulfport Energy Corporation	Oil & Energy	12	2016-09-14 00:00:00	211	6875	2018-07-17 00:00:00	307	9246	113.65335334271829	0.9935010039607727	-1.3207791899219653e-05	-0.1902638228373327	-0.30185708696444274	-0.1360560644411554	199
655	QEP Resources	Oil & Energy	12	2016-09-06 00:00:00	605	10319	2018-07-17 00:00:00	771	13530	141.34498186029992	0.9933655086012338	-8.424095384933709e-06	-0.14076327068177188	-0.2928411550434013	-0.12143880585914087	199
664	Geospace Technologies	Oil & Energy	12	2017-02-06 00:00:00	313	2185	2018-07-17 00:00:00	315	2369	8.748540039907695	0.9891868133862167	-4.1310929271108093e-07	-0.0058550379428360146	-0.3360123427424553	-0.09696010934124116	199
725	Cameron, a Schlumberger company	Oil & Energy	12	2017-11-01 00:00:00	11739	225804	2018-02-17 00:00:00	11768	226109	8.658450219177578	0.257336774285516	-3.084664365212234e-05	-0.25530473907491436	-0.33604167448399463	-0.18995406076931193	199
726	Enable Midstream Partners	Oil & Energy	12	2016-08-26 00:00:00	752	4819	2018-07-17 00:00:00	959	7669	123.39373419606068	0.9950861128787288	3.8876637819825727e-07	0.004503215632110255	-0.2986857815786655	-0.0945098652680011	199
757	Profire Energy	Oil & Energy	12	2017-02-12 00:00:00	64	749	2018-07-17 00:00:00	88	1111	18.64762202618748	0.8750989085409209	8.829708223882081e-05	0.25803797716615545	-0.3327893669173809	0.17410637754896968	199
803	Energy Recovery, Inc.	Oil & Energy	12	2016-12-31 00:00:00	119	4123	2018-07-17 00:00:00	140	7189	164.52479308364713	0.9832586498503026	1.1065427772066831e-05	0.05029668734920647	-0.28529419550652885	-0.06188582235041145	199
825	Southwestern Energy	Oil & Energy	12	2015-09-20 00:00:00	1941	24729	2018-07-17 00:00:00	1924	37128	291.3798127501848	0.9916628326710362	-3.7968318462294438e-06	-0.09214440288792893	-0.24399231900512602	-0.10729955027083686	199
843	Honeywell UOP	Oil & Energy	12	2017-11-01 00:00:00	3490	35121	2018-02-17 00:00:00	3491	35224	3.105414032385564	0.2681409701672616	-6.675274702969677e-05	-0.27141146931851007	-0.3378496503559593	-0.299670217756937	199
856	Anadarko Petroleum Corporation	Oil & Energy	12	2016-08-19 00:00:00	4689	136287	2018-07-17 00:00:00	5696	191073	2340.4871050811344	0.9931396831071693	1.1358776685545563e-05	0.28719824583542275	0.42316280460328887	-0.060989453421014236	199
874	GMP | Grupo Graña y Montero Petrolera	Oil & Energy	12	2018-05-01 00:00:00	694	18406	2018-05-10 00:00:00	695	18534	448.7272727263341	0.9761250071430901	0.0026403139731984724	0.48127658332937473	-0.19276261302401843	7.972153492248568	199
879	OTI PetroSmart	Oil & Energy	12	2017-01-06 00:00:00	16	78	2018-07-17 00:00:00	21	252	5.46888375558173	0.939263292916293	-0.00010774755773996724	-0.06737449458293726	-0.3370801440732844	-0.424935636849312	199
883	Sprague Operating Resources LLC	Oil & Energy	12	2016-12-15 00:00:00	285	1603	2018-07-17 00:00:00	391	2289	37.12046685864079	0.9811440846306436	2.33538658192701e-05	0.1477552256166736	-0.32677491705244727	-0.024336768816473356	199
888	American Electric Technologies, Inc.	Oil & Energy	12	2017-11-01 00:00:00	84	3672	2018-02-17 00:00:00	88	3691	5.601739913816049	0.9004537027403977	1.5082086679372976e-05	0.05916308902853711	-0.33703688832625706	-0.04961235522963824	199
935	Enterprise Products	Oil & Energy	12	2016-08-19 00:00:00	3762	30666	2018-07-17 00:00:00	4869	40896	424.8438520426064	0.9847409857607206	1.0245324058476345e-05	0.24427816182449	-0.20053865605411209	-0.06439176477586063	199
960	General Flange & Forge	Oil & Energy	12	2016-12-15 00:00:00	9	244	2018-07-17 00:00:00	8	269	1.3414483489824724	0.9854221696078358	-4.444113557315376e-07	-0.0023792575942735224	-0.33842396813226916	-0.09705575720434328	199
974	American Midstream, LLC	Oil & Energy	12	2016-12-05 00:00:00	139	4812	2017-03-04 00:00:00	162	5069	73.22084151912408	0.9937698932147205	0.0001852939751825426	0.21646736255679092	-0.3150212377751032	0.47049404795744676	199
1002	Apache Corporation	Oil & Energy	12	2015-09-18 00:00:00	3647	82203	2018-07-17 00:00:00	4988	129593	1213.197012712977	0.9851395911392838	6.247250950551876e-06	0.21281778711378577	0.05613597114699954	-0.07660844036842879	199
1033	SEACOR Holdings Inc.	Oil & Energy	12	2016-12-16 00:00:00	482	10613	2018-07-17 00:00:00	547	12364	84.71169477104291	0.9982346239034228	4.101052738210254e-06	0.10224554671292599	-0.3112800078012792	-0.08316645134265499	199
1036	Hudson Energy	Oil & Energy	12	2016-12-16 00:00:00	312	2005	2018-07-17 00:00:00	357	2765	37.19407434809511	0.9972086295601834	-8.791083128725968e-06	-0.06930388882064872	-0.32675095168279134	-0.12256018860811366	199
1067	Rosetta Resources	Oil & Energy	12	2017-10-31 00:00:00	224	9681	2018-02-17 00:00:00	225	9681	0.0	0.0	0.0	0.0	-0.33886072131861	-0.09569779570237262	199
1073	Matador Resources Company	Oil & Energy	12	2016-12-17 00:00:00	141	4933	2018-07-17 00:00:00	222	6233	66.67935043895741	0.999047135779423	-8.529437842041683e-06	-0.119009766320742	-0.31715103805764844	-0.12176069457649857	199
1077	Dorchester Minerals, L.P.	Oil & Energy	12	2017-11-01 00:00:00	22	158	2018-02-17 00:00:00	22	159	0.023629293901594583	0.21880357438997314	-0.0001457183673211729	-0.2080404057440537	-0.3388530280150174	-0.5409607944987134	199
1085	Ferrellgas	Oil & Energy	12	2016-12-16 00:00:00	1099	4406	2018-07-17 00:00:00	1298	6047	82.64768350341733	0.9530682732027581	3.572271095544458e-05	0.30966562355972466	-0.3119520154104149	0.01345797990481814	199
1118	Whiting Petroleum Corporation	Oil & Energy	12	2015-09-21 00:00:00	587	15160	2018-07-17 00:00:00	675	24195	185.51771781707353	0.938187795137748	-3.7205087498477675e-05	-0.47979391133041355	-0.278459249699714	-0.20938318166020284	199
1121	Core Laboratories	Oil & Energy	12	2016-08-26 00:00:00	1496	10500	2018-07-17 00:00:00	1677	14150	134.41603118606653	0.9901185368815426	1.6492883239092962e-05	0.2503802627368196	-0.2950971057009612	-0.045301467601533404	199
1126	Magellan Petroleum	Oil & Energy	12	2017-10-31 00:00:00	17	1745	2018-02-17 00:00:00	16	1746	0.02397995876211367	0.22222694171626023	-1.3193983975214173e-05	-0.2080404057440534	-0.3388529138443933	-0.13601387238422494	199
1132	Petro Canada	Oil & Energy	12	2017-11-01 00:00:00	3	6863	2018-03-23 00:00:00	3	6888	0.6121342139515646	0.23497525592594887	-7.780403025807717e-05	-0.22717884536878327	-0.3386614206384054	-0.33343897046311266	199
1158	Eni	Oil & Energy	12	2017-11-01 00:00:00	21502	423692	2018-07-17 00:00:00	23788	530408	14567.582045566502	0.9678212375452501	0.0003138504294306949	0.08166201817055972	4.404100780336114	0.86331640374869	199
1206	Just Energy	Oil & Energy	12	2016-12-16 00:00:00	1486	12256	2018-07-17 00:00:00	1934	22885	577.0172447718655	0.986137546711419	2.8451678764002492e-05	0.13945749659953396	-0.15099353998519527	-0.008759683231432369	199
1272	Hallador Petroleum Company	Oil & Energy	12	2017-10-31 00:00:00	0	8	2018-03-23 00:00:00	0	8	-0.26763653849623337	-0.5243547583511402	0.001718901825016198	0.042108959971964316	-0.3389478593072311	5.156648873515406	199
1298	Independence Contract Drilling	Oil & Energy	12	2016-12-16 00:00:00	114	1472	2018-07-17 00:00:00	172	1963	24.789825164221632	0.9849214477817853	1.484678343726165e-05	0.08309999380065873	-0.330789568122501	-0.050331357433238744	199
1324	Antero Resources	Oil & Energy	12	2016-08-23 00:00:00	468	8399	2018-07-17 00:00:00	582	12163	157.29217801971794	0.9909800303353625	1.2261746032333395e-05	0.188865880070392	-0.28764901421955913	-0.0582303033799919	199
1349	HollyFrontier Corporation	Oil & Energy	12	2016-08-26 00:00:00	1019	7214	2018-07-17 00:00:00	1316	11534	191.67114379171701	0.9970834679280033	-5.768332686035958e-07	-0.0057622880893280996	-0.2764557969366044	-0.09746039101348968	199
1353	Mitcham Industries Inc (MI7)	Oil & Energy	12	2017-10-31 00:00:00	13	85	2018-03-09 00:00:00	17	92	0.17407313111968922	0.23720980888998897	0.002129224396763188	0.24068629358783875	-0.3388040460133472	6.410447293910862	199
1358	CARBO	Oil & Energy	12	2016-12-10 00:00:00	280	2542	2018-07-17 00:00:00	364	3444	41.71385491448495	0.9958109348541831	6.4138800921986715e-06	0.05795677869725051	-0.3252793865901589	-0.07609928155296537	199
1399	Schlumberger	Oil & Energy	12	2016-08-19 00:00:00	71221	935380	2018-07-17 00:00:00	104847	1188352	9739.358330304376	0.9941245834324028	3.2536133716702915e-06	0.11044143411072546	2.8321117480289977	-0.08575592170648351	199
1471	Chevron	Oil & Energy	12	2015-09-16 00:00:00	53695	993927	2018-07-17 00:00:00	70698	1551990	14717.109898447914	0.9960172233159241	1.0173667047420929e-06	0.04280593142887859	4.4527845527990575	-0.09258908841888665	199
1476	TechnipFMC	Oil & Energy	12	2017-07-04 00:00:00	6952	29113	2018-07-17 00:00:00	41339	83835	4355.768023991011	0.9842985281675481	-2.4733156815165644e-06	-0.005874182350676923	1.079304625772431	-0.10325536018492544	199
1492	Genesis Energy, L.P.	Oil & Energy	12	2016-09-06 00:00:00	387	3357	2018-07-17 00:00:00	461	4185	37.678006287931375	0.9976150467032334	1.1198027806270235e-06	0.018776431780161855	-0.3265933915226436	-0.09227608055877987	199
1497	Eclipse Resources	Oil & Energy	12	2016-12-11 00:00:00	159	6656	2018-07-17 00:00:00	221	10478	192.78239005158937	0.9671406864697355	4.240901825985747e-05	0.19937203745689158	-0.27609399370714965	0.033888933778154454	199
1508	Plains All American	Oil & Energy	12	2016-08-24 00:00:00	1484	19777	2018-07-17 00:00:00	1773	26081	234.40446289901854	0.9943789142608704	6.1537125452020565e-06	0.09764450641425826	-0.2625425416873887	-0.07689426014279459	199
1534	RPC, Inc.	Oil & Energy	12	2016-09-14 00:00:00	137	1981	2018-07-17 00:00:00	210	2328	15.207993231347825	0.9986949205215093	1.0771728502969922e-06	0.015028482445476403	-0.3339092526268197	-0.09240634231621084	199
1552	Black Stone Minerals, L.P.	Oil & Energy	12	2016-09-15 00:00:00	106	2024	2018-07-17 00:00:00	117	2256	9.483818418330014	0.9958892854087573	2.9857764897338105e-07	0.004636371644633579	-0.33577294837824667	-0.09478544963509596	199
1582	CSI Compressco, LP	Oil & Energy	12	2017-11-01 00:00:00	69	282	2018-02-17 00:00:00	69	282	0.0	0.0	0.0	0.0	-0.33886072131861	-0.09569779570237262	199
1599	Midstates Petroleum Company LLC	Oil & Energy	12	2016-12-19 00:00:00	133	3643	2018-07-17 00:00:00	132	3923	14.047605662746202	0.990855803741867	-4.082901366165418e-06	-0.07472307955834637	-0.33428705544596027	-0.10817367598781102	199
1607	TransCanada	Oil & Energy	12	2016-08-19 00:00:00	5247	72689	2018-07-17 00:00:00	7377	110174	1481.7969769118265	0.9904053617721432	3.670173653711981e-06	0.05048928596329303	0.1435876350920601	-0.08448306308357206	199
1614	Oil States International	Oil & Energy	12	2016-12-19 00:00:00	1094	20707	2018-07-17 00:00:00	3251	24907	225.12340934046125	0.9991450799077253	2.4135019206219666e-06	0.06445325426506877	-0.2655642977746613	-0.08832300059223884	199
1626	Transocean	Oil & Energy	12	2016-09-12 00:00:00	8830	201064	2018-07-17 00:00:00	10895	253605	1995.4305246919612	0.9744614946947185	1.6305539970405076e-05	0.373786562203596	0.31081814290450294	-0.04587392135018418	199
1643	Navios Maritime Acquisition Corporation	Oil & Energy	12	2017-11-01 00:00:00	45	1379	2018-02-17 00:00:00	46	1390	0.2735200851546275	0.22558295485791752	-0.00018718899120640723	-0.20741810386814402	-0.3387716677454254	-0.6676801277753193	199
1658	Marathon Oil Corporation	Oil & Energy	12	2015-09-18 00:00:00	4120	89841	2018-07-17 00:00:00	5167	173826	2145.1100051473686	0.9869932188803466	7.226657571628953e-06	0.1895849836915969	0.35955128277404885	-0.07361572546804433	199
1661	TETRA Technologies, Inc.	Oil & Energy	12	2017-11-01 00:00:00	1197	23425	2018-02-17 00:00:00	1203	23456	0.8191657574683116	0.24301223391796958	-3.0323348911332563e-05	-0.23553630317096547	-0.33859401462432176	-0.1883550599719392	199
1754	Helix Energy Solutions Group	Oil & Energy	12	2016-12-16 00:00:00	1002	25212	2018-07-17 00:00:00	1227	33583	372.54024746891366	0.9624288080745232	3.845036639556195e-05	0.4592611429389539	-0.21756783647093325	0.021792715348792197	199
1787	Unit Corporation	Oil & Energy	12	2017-07-14 00:00:00	588	7139	2018-07-17 00:00:00	650	8949	184.69431592734134	0.9650074703865164	3.233548295657442e-06	0.013450169051519058	-0.2787273356079432	-0.08581723337282181	199
1843	Dril-Quip	Oil & Energy	12	2016-12-11 00:00:00	1202	15103	2018-07-17 00:00:00	1697	19197	175.65073583151715	0.93788114254147	3.770392252095124e-05	0.43469261449656227	-0.2816717743004769	0.019511850937857837	199
1848	Marathon Petroleum Corporation	Oil & Energy	12	2015-09-17 00:00:00	5094	28198	2018-07-17 00:00:00	7282	66103	899.5694174760291	0.9917652468959164	-1.385680967120728e-05	-0.20219142471639232	-0.045975937707367104	-0.13803922967104296	199
1895	Oxy	Oil & Energy	12	2016-08-19 00:00:00	7916	135129	2018-07-17 00:00:00	12274	190265	2254.8333129650123	0.9887290722905295	1.1747526572125013e-05	0.13739584839989394	0.3952753599191422	-0.05980157337910718	199
1896	Flotek Industries, Inc.	Oil & Energy	12	2016-12-16 00:00:00	298	1896	2018-07-17 00:00:00	307	2803	42.703295989378795	0.986167747852035	-3.676496879388071e-05	-0.1934096672616272	-0.32495724109534047	-0.2080383369584826	199
1932	CGG	Oil & Energy	12	2016-12-09 00:00:00	4312	39638	2018-07-17 00:00:00	4785	50196	498.7676667922688	0.9811309345958876	1.8243136315476937e-05	0.3815265694503138	-0.1764702961631986	-0.039953322767289065	199
1980	AZZ | WSI LLC	Oil & Energy	12	2017-11-01 00:00:00	334	2826	2018-02-17 00:00:00	333	2828	0.047258587803189166	0.21880357438997314	-1.6294056643133486e-05	-0.20804040574405322	-0.33884533471142475	-0.1454865811304185	199
1994	GMP | Graña & Montero  Petrolera	Oil & Energy	12	2018-05-11 00:00:00	697	18555	2018-07-17 00:00:00	731	19554	487.6285452532724	0.9714356750678108	-0.00044059993289917475	-0.43122745325009465	-0.1800970081636154	-1.442012958290992	199
2001	Superior Energy Services	Oil & Energy	12	2016-09-16 00:00:00	1545	27743	2018-07-17 00:00:00	1939	34454	291.7959178653521	0.9987161669425664	1.7534971284909132e-07	0.0054362473534782	-0.24385684212669095	-0.09516198995312773	199
2070	CNOOC	Oil & Energy	12	2016-08-19 00:00:00	3261	12329	2018-07-17 00:00:00	4226	15981	152.09939748015077	0.9992786796566293	-2.545073180437094e-06	-0.06224236708485965	-0.28933969686741867	-0.10347462533140528	199
2082	Apache Energy	Oil & Energy	12	2017-11-01 00:00:00	101	4374	2018-02-17 00:00:00	101	4375	0.045293705531314385	0.29819457644194947	-5.0749953436815425e-06	-0.20058143562394617	-0.33884597444428793	-0.11120515889307162	199
2089	Callon Petroleum Company	Oil & Energy	12	2016-12-10 00:00:00	97	2750	2018-07-17 00:00:00	161	3898	57.94037429041186	0.996560479104868	-7.956957442028271e-06	-0.0536298419437172	-0.3199963027904491	-0.12001140006855042	199
2098	Continental Resources	Oil & Energy	12	2016-08-20 00:00:00	709	22603	2018-07-17 00:00:00	867	25354	113.07787678053585	0.9958028153504017	-2.8516611490505604e-06	-0.12287159261216266	-0.3020444525252475	-0.10441144805876146	199
2106	Enbridge	Oil & Energy	12	2015-09-17 00:00:00	6955	44309	2018-07-17 00:00:00	10704	74665	822.6818446233968	0.998800569957722	-1.2809362796595314e-05	-0.3272956471698136	-0.0710092477553234	-0.13483860819110538	199
2111	Ocean Rig	Oil & Energy	12	2017-02-21 00:00:00	1536	62754	2018-07-17 00:00:00	1361	73838	554.889605580643	0.9368165212873193	3.189328583521175e-05	0.2766178923556793	-0.15819792987489667	0.001756631996199641	199
2188	Basic Energy Services	Oil & Energy	12	2016-12-10 00:00:00	958	8323	2018-07-17 00:00:00	1283	10602	109.1841098626014	0.9951162901367312	7.226951654419868e-06	0.12708007127232773	-0.3033121980255243	-0.07361482685664905	199
2229	BP	Oil & Energy	12	2016-08-19 00:00:00	63449	1262320	2018-07-17 00:00:00	80834	1615411	14124.626333618131	0.997348505271639	4.416435642000121e-06	0.13886006021539327	4.259881795872005	-0.08220275445191877	199
2232	Kinder Morgan	Oil & Energy	12	2015-09-16 00:00:00	5823	47439	2017-05-02 00:00:00	6865	64737	800.0492947592346	0.998197841645433	-1.9329185065478818e-05	-0.2911777462837537	-0.07837802813042154	-0.15476084358552034	199
2238	ExxonMobil	Oil & Energy	12	2015-09-16 00:00:00	41627	693869	2018-07-17 00:00:00	57817	1140465	11652.839235381043	0.9921762694114428	2.311981279115372e-06	0.0848076029700664	3.4551091842913952	-0.08863321121364473	199
2293	Crescent Point Energy	Oil & Energy	12	2016-08-24 00:00:00	695	13552	2018-07-17 00:00:00	895	19406	231.5561723314362	0.9912111914618273	8.038116378312098e-06	0.11553850684581592	-0.2634698975426922	-0.0711361987734645	199
2304	Cimarex Energy	Oil & Energy	12	2015-09-18 00:00:00	652	20959	2018-07-17 00:00:00	822	29098	158.30164409309316	0.9351305121793424	-2.8436952192764442e-05	-0.47739028881890544	-0.2873203489195616	-0.18259090906035283	199
2335	Ensco plc	Oil & Energy	12	2016-09-16 00:00:00	3993	84582	2018-07-17 00:00:00	5900	107729	825.7154602006195	0.9322431969112093	2.9739349355746458e-05	0.4822653098670163	-0.07002155317096606	-0.004825024343317936	199
2338	Halliburton	Oil & Energy	12	2015-09-17 00:00:00	49083	600199	2018-07-17 00:00:00	60721	890779	7377.460729196671	0.9931213386227902	3.1824409465721054e-06	0.14231255003081825	2.063117322058778	-0.08597339907747942	199
2356	W&T Offshore	Oil & Energy	12	2016-12-21 00:00:00	1259	9606	2018-07-17 00:00:00	9449	16960	359.4812398825025	0.9975933539364702	-6.394436566262775e-05	-0.4078482922595685	-0.22181963131502103	-0.2910888128712453	199
2401	Star Group, LP	Oil & Energy	12	2018-06-22 00:00:00	197	534	2018-07-17 00:00:00	197	547	16.882051282046895	0.9580135556971301	0.0019052315952284953	0.3071506766017722	-0.3333642072746697	5.726005734801798	199
2550	Zion Oil & Gas, Inc.	Oil & Energy	12	2017-03-30 00:00:00	65	2859	2018-07-17 00:00:00	157	3908	70.05303809441936	0.9973360667401635	-9.140253064485385e-06	-0.0618880013539638	-0.3160526216822738	-0.12362712653463526	199
2607	MarkWest Energy Partners, L.P.	Oil & Energy	12	2015-09-18 00:00:00	831	8221	2018-07-17 00:00:00	1106	12149	102.86625480042902	0.9933338302761635	-1.6423197380599988e-05	-0.4135935988979657	-0.3053691861543152	-0.14588118884589182	199
